Protocol ID,Protocol name,Measurement date & time,Completion status,Run ID,Rack,Det,Pos,Time,Sample code,Cr-51 Counts,Cr-51 CPM,Cr-51 Error %,Cr-51 Info
10,Clearance 51-Cr-EDTA,2019-01-24,0,4391,1,1,1,1200.05,,1071.5,231,0,I
10,Clearance 51-Cr-EDTA,2018-12-06 15:07:29,0,4391,1,1,2,298.27,,50254.45,231,1,
10,Clearance 51-Cr-EDTA,2018-12-06 15:12:41,0,4391,1,1,3,1200.02,,1123.37,216,62.37,I
10,Clearance 51-Cr-EDTA,2018-12-06 15:32:55,0,4391,1,1,4,1200.02,,15129.8,216,3.77,
10,Clearance 51-Cr-EDTA,2018-12-06 15:53:09,0,4391,1,1,5,1200.04,,15219.73,708.34,3.76,
10,Clearance 51-Cr-EDTA,2018-12-06 16:13:23,0,4391,1,1,6,1200.03,,1093.52,1.08,96.31,I
10,Clearance 51-Cr-EDTA,2018-12-06 16:33:36,0,4391,1,1,7,1200.02,,5327.86,213.23,6.86,I
10,Clearance 51-Cr-EDTA,2018-12-06 16:53:50,0,4391,1,1,8,1200.04,,5515.3,222.69,6.71,I
10,Clearance 51-Cr-EDTA,2018-12-06 17:14:04,0,4391,1,1,9,1200.03,,1099.72,1.39,84.86,I
10,Clearance 51-Cr-EDTA,2018-12-06 17:34:18,0,4391,1,1,10,1200.01,,6290.52,261.74,6.19,I
10,Clearance 51-Cr-EDTA,2018-12-06 17:54:50,0,4391,2,1,1,1200.02,,6363.23,265.48,6.15,I
10,Clearance 51-Cr-EDTA,2018-12-06 18:15:04,0,4391,2,1,2,1200,,1056.01,0,0,I
10,Clearance 51-Cr-EDTA,2018-12-06 18:35:18,0,4391,2,1,3,1200.02,,11505.28,523.84,4.38,
10,Clearance 51-Cr-EDTA,2018-12-06 18:55:31,0,4391,2,1,4,1200.04,,11326.33,515.02,4.42,
10,Clearance 51-Cr-EDTA,2018-12-06 19:15:45,0,4391,2,1,5,1200.03,,1094.4,1.13,94.38,I
10,Clearance 51-Cr-EDTA,2018-12-06 19:35:59,0,4391,2,1,6,1200.02,,12393.85,569.05,4.2,
10,Clearance 51-Cr-EDTA,2018-12-06 19:56:13,0,4391,2,1,7,1200.03,,12485.48,573.85,4.19,
10,Clearance 51-Cr-EDTA,2018-12-06 20:16:27,0,4391,2,1,8,298.3,,50119.63,10090.49,1,
10,Clearance 51-Cr-EDTA,2018-12-06 20:21:39,0,4391,2,1,9,1200.01,,1068.66,0,0,I
